participant,topic,disagreement,count
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,fundNeedleExchange,0,860
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,fundNeedleExchange,1,1213
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,fundNeedleExchange,2,1356
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,fundNeedleExchange,3,1522
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,0,1477
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,1,1921
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,2,1132
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,3,1150
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,4,1589
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,israelAid,5,2661
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,0,2306
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,1,2500
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,2,1721
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,3,1248
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,4,2070
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,schoolDressCode,5,3624
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,slaveReparations,0,1359
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,slaveReparations,1,2369
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,slaveReparations,2,3030
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,slaveReparations,3,1237
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,slaveReparations,4,1387
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,universalIncome,0,2350
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,universalIncome,1,2292
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,universalIncome,2,3244
007779c0-e3fb-455c-9800-5a6ebcbcc0b5,universalIncome,3,4382
00abded0-005a-4bf8-be81-1b80ea54b5f8,capAndTrade,0,1007
00abded0-005a-4bf8-be81-1b80ea54b5f8,capAndTrade,1,851
00abded0-005a-4bf8-be81-1b80ea54b5f8,capAndTrade,2,841
00abded0-005a-4bf8-be81-1b80ea54b5f8,capAndTrade,3,978
00abded0-005a-4bf8-be81-1b80ea54b5f8,cubaEmbargo,0,883
00abded0-005a-4bf8-be81-1b80ea54b5f8,cubaEmbargo,1,775
00abded0-005a-4bf8-be81-1b80ea54b5f8,cubaEmbargo,2,823
00abded0-005a-4bf8-be81-1b80ea54b5f8,cubaEmbargo,3,776
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,0,3237
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,1,2783
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,2,2041
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,3,3344
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,4,4994
00abded0-005a-4bf8-be81-1b80ea54b5f8,drinkingAge,5,9282
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,0,1365
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,1,1147
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,2,1162
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,3,1360
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,4,2309
00abded0-005a-4bf8-be81-1b80ea54b5f8,policeDefundingDiscrimination,5,3967
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,0,884
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,1,446
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,2,463
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,3,479
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,4,670
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,5,627
00abded0-005a-4bf8-be81-1b80ea54b5f8,sportsPEDs,6,1089
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,0,663
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,1,466
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,2,637
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,3,887
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,4,1242
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,5,1572
00e659c9-f66d-4ef5-a416-68cdcc2c552f,fundNeedleExchange,6,2852
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,0,1444
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,1,725
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,2,1008
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,3,1279
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,4,1654
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,5,2147
00e659c9-f66d-4ef5-a416-68cdcc2c552f,israelAid,6,2387
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,0,1934
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,1,969
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,2,1511
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,3,2004
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,4,2669
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,5,3841
00e659c9-f66d-4ef5-a416-68cdcc2c552f,schoolDressCode,6,5938
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,0,584
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,1,349
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,2,476
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,3,553
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,4,856
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,5,843
00e659c9-f66d-4ef5-a416-68cdcc2c552f,slaveReparations,6,1089
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,0,698
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,1,461
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,2,579
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,3,736
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,4,1159
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,5,1458
00e659c9-f66d-4ef5-a416-68cdcc2c552f,universalIncome,6,2077
00f080f5-dd30-40b0-a8f0-d6327f55dbca,capAndTrade,0,1050
00f080f5-dd30-40b0-a8f0-d6327f55dbca,capAndTrade,1,1049
00f080f5-dd30-40b0-a8f0-d6327f55dbca,capAndTrade,2,1061
00f080f5-dd30-40b0-a8f0-d6327f55dbca,capAndTrade,3,1189
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,0,1530
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,1,1926
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,2,1738
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,3,1488
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,4,2399
00f080f5-dd30-40b0-a8f0-d6327f55dbca,cubaEmbargo,5,2910
00f080f5-dd30-40b0-a8f0-d6327f55dbca,drinkingAge,0,1973
00f080f5-dd30-40b0-a8f0-d6327f55dbca,drinkingAge,1,2112
00f080f5-dd30-40b0-a8f0-d6327f55dbca,drinkingAge,2,2279
00f080f5-dd30-40b0-a8f0-d6327f55dbca,drinkingAge,3,1972
00f080f5-dd30-40b0-a8f0-d6327f55dbca,drinkingAge,4,3085
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,0,2075
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,1,3060
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,2,1457
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,3,1349
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,4,1724
00f080f5-dd30-40b0-a8f0-d6327f55dbca,policeDefundingDiscrimination,5,1362
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,0,2007
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,1,3091
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,2,1172
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,3,1344
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,4,1119
00f080f5-dd30-40b0-a8f0-d6327f55dbca,sportsPEDs,5,1360
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,0,579
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,1,432
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,2,561
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,3,807
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,4,1081
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,5,1760
01223dd4-4baf-4dfb-a239-ea5e2488608e,fundNeedleExchange,6,3072
01223dd4-4baf-4dfb-a239-ea5e2488608e,israelAid,0,2560
01223dd4-4baf-4dfb-a239-ea5e2488608e,israelAid,1,2681
01223dd4-4baf-4dfb-a239-ea5e2488608e,israelAid,2,3402
01223dd4-4baf-4dfb-a239-ea5e2488608e,israelAid,3,2089
01223dd4-4baf-4dfb-a239-ea5e2488608e,israelAid,4,2514
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,0,1575
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,1,813
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,2,1217
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,3,1631
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,4,2276
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,5,3575
01223dd4-4baf-4dfb-a239-ea5e2488608e,schoolDressCode,6,6017
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,0,530
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,1,368
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,2,406
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,3,516
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,4,742
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,5,841
01223dd4-4baf-4dfb-a239-ea5e2488608e,slaveReparations,6,1156
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,0,533
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,1,440
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,2,475
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,3,622
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,4,984
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,5,1485
01223dd4-4baf-4dfb-a239-ea5e2488608e,universalIncome,6,2137
0156b277-7c2a-4dae-b720-d0924bc35aa3,fundNeedleExchange,0,807
0156b277-7c2a-4dae-b720-d0924bc35aa3,fundNeedleExchange,1,1006
0156b277-7c2a-4dae-b720-d0924bc35aa3,fundNeedleExchange,2,836
0156b277-7c2a-4dae-b720-d0924bc35aa3,fundNeedleExchange,3,740
0156b277-7c2a-4dae-b720-d0924bc35aa3,fundNeedleExchange,4,1424
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,0,3076
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,1,1421
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,2,1537
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,3,2390
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,4,2760
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,5,4122
0156b277-7c2a-4dae-b720-d0924bc35aa3,israelAid,6,8995
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,0,555
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,1,670
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,2,598
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,3,635
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,4,840
0156b277-7c2a-4dae-b720-d0924bc35aa3,schoolDressCode,5,1056
0156b277-7c2a-4dae-b720-d0924bc35aa3,slaveReparations,0,3101
0156b277-7c2a-4dae-b720-d0924bc35aa3,slaveReparations,1,1055
0156b277-7c2a-4dae-b720-d0924bc35aa3,slaveReparations,2,837
0156b277-7c2a-4dae-b720-d0924bc35aa3,slaveReparations,3,1668
0156b277-7c2a-4dae-b720-d0924bc35aa3,slaveReparations,4,1131
